company_linkedin_url,company_name
https://www.linkedin.com/company/2319053/,ARPA-E
https://www.linkedin.com/company/2319053/,Advanced Research Projects Agency—Energy (ARPA-E)
https://www.linkedin.com/company/309694/,Airbnb
https://www.linkedin.com/company/737554/,Alameda County Medical Center
https://www.linkedin.com/company/2445746/,Allurion Technologies
https://www.linkedin.com/company/2382910/,Amazon Web Services (AWS)
https://www.linkedin.com/company/1550928/,AmeriCorps St. Louis
https://www.linkedin.com/company/11523/,Ann & Robert H. Lurie Children's Hospital of Chicago
https://www.linkedin.com/company/11965473/,Anna Cummings
https://www.linkedin.com/company/162479/,Apple
https://www.linkedin.com/company/162514/,Aristocrat
https://www.linkedin.com/company/86705978/,AtmosZero
https://www.linkedin.com/company/98087785/,Avila VC
https://www.linkedin.com/company/33456164/,"Barker, Bucci & Malone, LLC"
https://www.linkedin.com/company/102185322/,BetterLocal
https://www.linkedin.com/company/1136638/,Bipartisan Policy Center
https://www.linkedin.com/company/25078238/,Blockchain Voice
https://www.linkedin.com/company/111285/,Boston Society of Architects
https://www.linkedin.com/company/5737091/,Cider Sante Group
https://www.linkedin.com/company/10916762/,Clark Street Associates
https://www.linkedin.com/company/5656/,Cleveland Clinic
https://www.linkedin.com/company/35436869/,CryptoLepton.com
https://www.linkedin.com/company/18513228/,CryptocurrencyNewsfeed.com
https://www.linkedin.com/company/143026/,"DECLUDE, INC."
https://www.linkedin.com/company/114443/,DNSSTUFF.COM
https://www.linkedin.com/company/3668782/,Decision Point Healthcare Solutions
https://www.linkedin.com/company/1038/,Deloitte Australia
https://www.linkedin.com/company/63273/,Downer
https://www.linkedin.com/company/15088102/,EMC
https://www.linkedin.com/company/15088102/,EMC Corp.
https://www.linkedin.com/company/1116813/,East Coast Catalyst
https://www.linkedin.com/company/69805648/,ForwardVue Pharma
https://www.linkedin.com/company/4794/,Georgetown University
https://www.linkedin.com/company/1441/,Google
https://www.linkedin.com/company/1646/,Harvard University
https://www.linkedin.com/company/68529/,HubSpot
https://www.linkedin.com/company/1009/,IBM
https://www.linkedin.com/company/11205472/,LIBs Research
https://www.linkedin.com/company/9446725/,Liva Healthcare
https://www.linkedin.com/company/15503807/,"LumiThera, Inc."
https://www.linkedin.com/company/3105696/,MAIL'S BEST FRIEND
https://www.linkedin.com/company/18980286/,MANUAL
https://www.linkedin.com/company/1900/,McKessonHBOC
https://www.linkedin.com/company/2697/,Mentor Graphics
https://www.linkedin.com/company/164945/,Mesirow Financial
https://www.linkedin.com/company/3608/,NVIDIA
https://www.linkedin.com/company/1393/,Nestlé
https://www.linkedin.com/company/217560/,ORPI
https://www.linkedin.com/company/633558/,Odoo
https://www.linkedin.com/company/165287/,Office of Management and Budget
https://www.linkedin.com/company/8390/,OhioHealth
https://www.linkedin.com/company/71645871/,PAYXPS
https://www.linkedin.com/company/2548613/,Park Square Executive Search
https://www.linkedin.com/company/119904/,Practice Fusion
https://www.linkedin.com/company/129351/,"ProVentive, Inc."
https://www.linkedin.com/company/3920/,Protiviti
https://www.linkedin.com/company/1503/,"Reacting Gas Dynamics Laboratory, MIT"
https://www.linkedin.com/company/95208/,River Logic
https://www.linkedin.com/company/1602/,Roche Diabetes Care
https://www.linkedin.com/company/28423178/,Siemens Digital Industries Software
https://www.linkedin.com/company/11572461/,Starlight Ventures
https://www.linkedin.com/company/3282/,Stryker
https://www.linkedin.com/company/288706/,Synthesis Health Systems
https://www.linkedin.com/company/11730/,Trinity College-Hartford
https://www.linkedin.com/company/366953/,"Tsingtao Brewery Co.,Ltd."
https://www.linkedin.com/company/400528/,Twilio
https://www.linkedin.com/company/3029/,UCSF Medical Center
https://www.linkedin.com/company/5952/,University of Bergen
https://www.linkedin.com/company/5372/,"University of California, Santa Barbara"
https://www.linkedin.com/company/2841/,"University of California, Santa Cruz"
https://www.linkedin.com/company/2513/,University of Michigan Health System
https://www.linkedin.com/company/62241534/,UrbanX Renewables Group
https://www.linkedin.com/company/826790/,"WIRE-Net, where manufaturing matters"
https://www.linkedin.com/company/1271058/,West Branch Capital LLC
https://www.linkedin.com/company/19207154/,Westwood Ventures
https://www.linkedin.com/company/3741787/,Wildflower Health
https://www.linkedin.com/company/7814/,Worcester Polytechnic Institute
https://www.linkedin.com/company/6555/,ZEISS Medical Technology
https://www.linkedin.com/company/3832641/,mPulse
